trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,hour,peak_hour,delay_minutes,passenger_count,occupancy_rate,route_id,temperature,humidity,wind_speed
5264-O-UP-123360,1900-01-01 06:14:30,1900-01-01 06:14:45,179,3,"{'fareStageNumber': '3', 'isStageStop': true}",6.0,0,16,21,0.35,5264,35.66,52,2.24
60-S-DOWN-100630,1900-01-01 14:34:30,1900-01-01 14:34:45,FTwVCxQy,43,19,14.0,0,18,14,0.2333333333333333,60,35.66,52,2.24
38-SE-DOWN-129747,1900-01-01 04:14:30,1900-01-01 04:14:45,12518ace15a486436b2a17347ed9dd7c,3,"{'fareStageNumber': '2', 'isStageStop': true}",4.0,0,17,27,0.45,38,35.66,52,2.24
543-ZE-UP-133179,1900-01-01 19:37:15,1900-01-01 19:37:30,fzmnvqlX,42,19,19.0,1,1,24,0.4,543,35.66,52,2.24
658-S-UP-15585,1900-01-01 19:21:15,1900-01-01 19:21:30,359e93744e98bd4ee5a14a123939bd39,26,"{'fareStageNumber': '12', 'isStageStop': true}",19.0,1,16,44,0.7333333333333333,658,35.66,52,2.24
1861-O-DOWN-23593,1900-01-01 17:47:15,1900-01-01 17:47:30,CbcrfuAf,2,"{'fareStageNumber': '2', 'isStageStop': true}",17.0,1,13,22,0.3666666666666666,1861,35.66,52,2.24
5136-S-DOWN-70577,1900-01-01 00:11:15,1900-01-01 00:11:30,1845,6,"{'fareStageNumber': '6', 'isStageStop': true}",0.0,0,8,34,0.5666666666666667,5136,35.66,52,2.24
2161-O-DOWN-28157,1900-01-01 12:27:00,1900-01-01 12:27:15,sZwmfbNt,1,"{'fareStageNumber': '1', 'isStageStop': true}",12.0,0,0,28,0.4666666666666667,2161,35.66,52,2.24
1035-O-DOWN-59814,1900-01-01 09:18:45,1900-01-01 09:19:00,FaHpkwNs,16,"{'fareStageNumber': '7', 'isStageStop': true}",9.0,1,9,40,0.6666666666666666,1035,35.66,52,2.24
3180-O-UP-76049,1900-01-01 16:19:00,1900-01-01 16:19:15,GiONHkbf,25,8,16.0,0,16,76,1.2666666666666666,3180,35.66,52,2.24
2230-O-DOWN-16196,1900-01-01 11:58:00,1900-01-01 11:58:15,JyqrAKLu,37,14,11.0,0,15,16,0.2666666666666666,2230,35.66,52,2.24
1996-S-DOWN-54359,1900-01-01 22:46:00,1900-01-01 22:46:15,1524,17,"{'fareStageNumber': '17', 'isStageStop': true}",22.0,0,14,50,0.8333333333333334,1996,35.66,52,2.24
3801-O-UP-55454,1900-01-01 19:07:15,1900-01-01 19:07:30,uiYVYPQX,2,1,19.0,1,3,37,0.6166666666666667,3801,35.66,52,2.24
872-O-DOWN-82489,1900-01-01 15:04:15,1900-01-01 15:04:30,NQaaFyOm,14,5,15.0,0,13,73,1.2166666666666666,872,35.66,52,2.24
633-S-DOWN-24122,1900-01-01 16:06:00,1900-01-01 16:06:15,ixUxTFtC,5,"{'fareStageNumber': '3', 'isStageStop': true}",16.0,0,15,33,0.55,633,35.66,52,2.24
2809-O-DOWN-75963,1900-01-01 20:49:00,1900-01-01 20:49:15,jkuUxjyr,5,1,20.0,1,8,42,0.7,2809,35.66,52,2.24
3962-O-DOWN-101994,1900-01-01 08:25:15,1900-01-01 08:25:30,qVxAOUMG,10,3,8.0,1,12,74,1.2333333333333334,3962,35.66,52,2.24
5034-XS-DOWN-69077,1900-01-01 00:04:30,1900-01-01 00:04:45,NALyFlzQ,3,1,0.0,0,1,25,0.4166666666666667,5034,35.66,52,2.24
4172-O-UP-47761,1900-01-01 20:16:00,1900-01-01 20:16:15,FYonLsVT,17,7,20.0,1,2,17,0.2833333333333333,4172,35.66,52,2.24
1986-S-UP-133982,1900-01-01 10:03:00,1900-01-01 10:03:15,523,9,"{'fareStageNumber': '9', 'isStageStop': true}",10.0,1,12,35,0.5833333333333334,1986,35.66,52,2.24
2986-S-UP-46682,1900-01-01 14:25:30,1900-01-01 14:25:45,nJRBvlcT,23,6,14.0,0,17,60,1.0,2986,35.66,52,2.24
957-S-UP-10985,1900-01-01 13:41:00,1900-01-01 13:41:15,gzTQJVMW,45,"{'fareStageNumber': '19', 'isStageStop': true}",13.0,0,2,54,0.9,957,35.66,52,2.24
